,회사명,거래소코드,회계년도,이자보상배율,부실기업1
6314,(주)잇츠한불,226320,16-Dec,0,1
6321,(주)잉크테크,49550,14-Dec,-1.87,1
6327,(주)자비스,254120,16-Dec,-0.67,1
6331,(주)자연과환경,43910,11-Dec,-7.76,1
6344,(주)정다운,208140,14-Dec,0,1
6353,(주)정상제이엘에스,40420,14-Dec,0,1
6369,(주)제넥신,95700,12-Dec,-3.54,1
6380,(주)제넨바이오,72520,14-Dec,-19.09,1
6392,(주)제노포커스,187420,19-Dec,-11.55,1
6400,(주)제닉,123330,18-Dec,-11.16,1
6404,(주)제로투세븐,159580,15-Dec,-1.74,1
6437,(주)제이시스메디칼,287410,19-Dec,0,1
6449,(주)제이에스티나,26040,18-Dec,-1.53,1
6452,(주)제이와이피엔터테인먼트,35900,11-Jun,0.58,1
6462,(주)제이웨이,58420,12-Dec,-16.6,1
6475,(주)제이티,89790,16-Dec,-10.94,1
6509,(주)제주반도체,80220,13-Dec,-44.31,1
6522,(주)젬백스&카엘,82270,11-Dec,-1.12,1
6533,(주)젬백스링크,64800,13-Dec,-55.99,1
6541,(주)조비,1550,12-Dec,-0.69,1
6552,(주)조이시티,67000,14-Dec,0.02,1
6567,(주)종근당,185750,13-Dec,0,1
6598,(주)좋은사람들,33340,17-Dec,-16.81,1
6601,(주)주연테크,44380,11-Dec,0,1
6613,(주)중앙디앤엠,51980,14-Dec,-16.7,1
6651,(주)지란지교시큐리티,208350,15-Dec,-0.9,1
6657,(주)지씨셀,144510,17-Dec,0,1
6660,(주)지어소프트,51160,11-Dec,-54.28,1
6717,(주)지엔코,65060,16-Dec,0.51,1
6731,(주)지티지웰니스,219750,19-Dec,-5.36,1
6751,(주)진매트릭스,109820,12-Dec,-5.6,1
6761,(주)진바이오텍,86060,13-Dec,0.15,1
6807,(주)천일고속,650,13-Dec,0,1
6816,(주)체리부로,66360,19-Dec,-3,1
6821,(주)체시스,33250,15-Jun,-1.55,1
6829,(주)초록뱀미디어,47820,14-Dec,-283.99,1
6837,(주)초록뱀이앤엠,131100,13-Dec,-1.24,1
