,회사명,거래소코드,회계년도,매출원가감소율,채울열
4,계양전기,12200,15-Dec,-1.25,77.48
5,계양전기,12200,16-Dec,-1.265822785,78.73
6,계양전기,12200,17-Dec,1.25,80.02
7,계양전기,12200,18-Dec,1.234567901,81.15
8,계양전기,12200,19-Dec,2.409638554,80.98
0,고려산업,2140,11-Dec,2.272727273,72.41
1,고려산업,2140,12-Dec,-1.149425287,73.05
2,고려산업,2140,13-Dec,1.136363636,72.785
3,고려산업,2140,14-Dec,-3.529411765,72.72
4,고려산업,2140,15-Dec,-1.19047619,72.09
5,고려산업,2140,16-Dec,-5,71.455
6,고려산업,2140,17-Dec,1.234567901,72.655
7,고려산업,2140,18-Dec,0,74.955
8,고려산업,2140,19-Dec,2.409638554,79.39
0,고려시멘트,198440,14-Dec,,0
1,고려시멘트,198440,15-Dec,,0
2,고려시멘트,198440,16-Dec,,0
3,고려시멘트,198440,17-Dec,,0
4,고려시멘트,198440,18-Dec,,13.425
5,고려시멘트,198440,19-Dec,,43.41
0,고려신용정보,49720,11-Dec,,0
1,고려신용정보,49720,12-Dec,,16.675
2,고려신용정보,49720,13-Dec,,24.03
3,고려신용정보,49720,14-Dec,,3.835
4,고려신용정보,49720,15-Dec,,3.72
5,고려신용정보,49720,16-Dec,,1.06
6,고려신용정보,49720,17-Dec,,0
7,고려신용정보,49720,18-Dec,,1.985
8,고려신용정보,49720,19-Dec,,2.785
0,고려아연,10130,11-Dec,0,90.89
1,고려아연,10130,12-Dec,4.761904762,91.46
2,고려아연,10130,13-Dec,1.176470588,91.98
3,고려아연,10130,14-Dec,-2.409638554,91.175
4,고려아연,10130,15-Dec,-1.219512195,90.055
5,고려아연,10130,16-Dec,2.380952381,89.125
6,고려아연,10130,17-Dec,0,90.23
7,고려아연,10130,18-Dec,3.448275862,91.965
8,고려아연,10130,19-Dec,-1.162790698,92.405
0,고려제강,2240,11-Dec,1.234567901,90.89
1,고려제강,2240,12-Dec,3.571428571,91.46
2,고려제강,2240,13-Dec,0,91.98
3,고려제강,2240,14-Dec,-1.204819277,91.175
4,고려제강,2240,15-Dec,1.19047619,90.055
5,고려제강,2240,16-Dec,0,89.125
6,고려제강,2240,17-Dec,0,90.23
7,고려제강,2240,18-Dec,3.448275862,91.965
8,고려제강,2240,19-Dec,1.136363636,92.405
0,고려제약,14570,11-Dec,,41.73
1,고려제약,14570,12-Dec,,41.84
2,고려제약,14570,13-Dec,,43.25
3,고려제약,14570,14-Dec,,44.93
4,고려제약,14570,15-Dec,,48.21
5,고려제약,14570,16-Dec,,52.51
6,고려제약,14570,17-Dec,,52.32
7,고려제약,14570,18-Dec,,54.69
8,고려제약,14570,19-Dec,,57.6
0,고영테크놀러지,98460,11-Dec,4.651162791,73.85
1,고영테크놀러지,98460,12-Dec,0,75.13
2,고영테크놀러지,98460,13-Dec,4.444444444,74.77
3,고영테크놀러지,98460,14-Dec,-7.142857143,76.93
4,고영테크놀러지,98460,15-Dec,-7.692307692,77.48
5,고영테크놀러지,98460,16-Dec,-5.405405405,78.73
6,고영테크놀러지,98460,17-Dec,-5.714285714,80.02
7,고영테크놀러지,98460,18-Dec,7.894736842,81.15
8,고영테크놀러지,98460,19-Dec,-5.555555556,80.98
0,골드앤에스,35290,11-Dec,-4.411764706,39.575
1,골드앤에스,35290,12-Dec,4.225352113,41.175
2,골드앤에스,35290,13-Dec,0,43.375
3,골드앤에스,35290,14-Dec,5.333333333,44.96
4,골드앤에스,35290,15-Dec,-10.29411765,56.37
5,골드앤에스,35290,16-Dec,-15.25423729,53.67
6,골드앤에스,35290,17-Dec,6.349206349,54.175
7,골드앤에스,35290,18-Dec,-23.52941176,47.75
8,골드앤에스,35290,19-Dec,37.80487805,53.78
0,골드퍼시픽,38530,11-Dec,,78.63
1,골드퍼시픽,38530,12-Dec,,79.75
2,골드퍼시픽,38530,13-Dec,,81.65
3,골드퍼시픽,38530,14-Dec,-5.504587156,81.58
4,골드퍼시픽,38530,15-Dec,-2.830188679,81.36
5,골드퍼시픽,38530,16-Dec,,82.3
6,골드퍼시픽,38530,17-Dec,,81.2
7,골드퍼시픽,38530,18-Dec,,81.97
8,골드퍼시픽,38530,19-Dec,,81.8
0,골프존,215000,15-Dec,,26.25
1,골프존,215000,16-Dec,0,32.73
2,골프존,215000,17-Dec,-14.28571429,35.91
3,골프존,215000,18-Dec,10.25641026,40.29
4,골프존,215000,19-Dec,-2.631578947,47.1
0,골프존뉴딘홀딩스,121440,11-Dec,,5.55
1,골프존뉴딘홀딩스,121440,12-Dec,-4.444444444,9.16
2,골프존뉴딘홀딩스,121440,13-Dec,11.76470588,9.26
3,골프존뉴딘홀딩스,121440,14-Dec,0,9.49
4,골프존뉴딘홀딩스,121440,15-Dec,22.72727273,26.25
5,골프존뉴딘홀딩스,121440,16-Dec,-26.92307692,32.73
6,골프존뉴딘홀딩스,121440,17-Dec,1.886792453,35.91
7,골프존뉴딘홀딩스,121440,18-Dec,8.620689655,40.29
8,골프존뉴딘홀딩스,121440,19-Dec,4.918032787,47.1
0,광동제약,9290,11-Dec,0,41.73
1,광동제약,9290,12-Dec,5.084745763,41.84
2,광동제약,9290,13-Dec,7.8125,43.25
3,광동제약,9290,14-Dec,-1.587301587,44.93
4,광동제약,9290,15-Dec,17.10526316,48.21
5,광동제약,9290,16-Dec,1.298701299,52.51
6,광동제약,9290,17-Dec,1.282051282,52.32
7,광동제약,9290,18-Dec,2.5,54.69
8,광동제약,9290,19-Dec,-1.265822785,57.6
0,광림,14200,11-Dec,,86.155
1,광림,14200,12-Dec,,87.3
2,광림,14200,13-Dec,,87.315
3,광림,14200,14-Dec,,87.805
4,광림,14200,15-Dec,,86.72
5,광림,14200,16-Dec,,87.335
6,광림,14200,17-Dec,11.34020619,88.505
