,회사명,회계년도,거래소코드_x,매출원가율,매출원가율여부,거래소코드_y,매출원가감소율,산업중간값
333,구영테크,11-Dec,53270,0.88,,53270,2.272727273,86.155
334,구영테크,12-Dec,53270,0.86,,53270,-2.325581395,87.3
335,구영테크,13-Dec,53270,0.87,,53270,1.149425287,87.315
336,구영테크,14-Dec,53270,0.87,,53270,0,87.805
337,구영테크,15-Dec,53270,0.85,,53270,-2.352941176,86.72
338,구영테크,16-Dec,53270,0.85,,53270,0,87.335
339,구영테크,17-Dec,53270,0.85,,53270,0,88.505
340,구영테크,18-Dec,53270,0.89,,53270,4.494382022,89.65
341,구영테크,19-Dec,53270,0.9,,53270,1.111111111,89.98
342,국동,11-Dec,5320,0.87,,5320,1.149425287,80.81
343,국동,12-Dec,5320,0.82,,5320,-6.097560976,81.77
344,국동,13-Dec,5320,0.84,,5320,2.380952381,80.31
345,국동,14-Dec,5320,0.82,,5320,-2.43902439,80.28
346,국동,15-Dec,5320,0.83,,5320,1.204819277,81.66
347,국동,16-Dec,5320,0.81,,5320,-2.469135802,82.9
348,국동,17-Dec,5320,0.85,,5320,4.705882353,82.45
349,국동,18-Dec,5320,0.83,,5320,-2.409638554,83.32
350,국동,19-Dec,5320,0.85,,5320,2.352941176,83.47
351,국보,11-Dec,1140,0.93,,1140,2.150537634,91.1
352,국보,12-Dec,1140,0.92,,1140,-1.086956522,91.44
353,국보,13-Dec,1140,0.92,,1140,0,92.89
354,국보,14-Dec,1140,0.94,,1140,2.127659574,91.51
355,국보,15-Dec,1140,0.94,,1140,0,90.67
356,국보,16-Dec,1140,0.91,,1140,-3.296703297,90.72
357,국보,17-Dec,1140,0.92,,1140,1.086956522,92.38
358,국보,18-Dec,1140,0.95,,1140,3.157894737,92.23
359,국보,19-Dec,1140,0.8,,1140,-18.75,91.62
360,국순당,11-Dec,43650,0.57,,43650,14.03508772,59.36
361,국순당,12-Dec,43650,0.55,,43650,-3.636363636,59.41
