,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
217,(주)골드퍼시픽,38530,Dec-11,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
226,(주)골프존,215000,Dec-15,105802,  출판업,,,,,,,,,
231,(주)골프존뉴딘홀딩스,121440,Dec-11,105802,  출판업,,,,,,,,,
240,(주)광림,14200,Dec-11,33001,  자동차 및 트레일러 제조업,,,,,,,,,
249,(주)광명전기,17040,Dec-11,32801,  전기장비 제조업,,,,,,,,,
258,(주)광무,29480,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
267,(주)광주신세계,37710,Dec-11,74701,  소매업; 자동차 제외,,,,,,,,,
276,(주)구영테크,53270,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
285,(주)국동,5320,Dec-11,74604,  도매 및 상품 중개업,,,,,,,,,
294,(주)국보,1140,Dec-11,84903,  육상운송 및 파이프라인 운송업,,,,,,,,,
303,(주)국보디자인,66620,Dec-11,137302,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,
312,(주)국순당,43650,Dec-11,31101,  음료 제조업,,,,,,,,,
321,(주)국영지앤엠,6050,Dec-11,32301,  비금속 광물제품 제조업,,,,,,,,,
330,(주)국전약품,307750,Dec-18,117201,  기타금융업,,,,,,,,,
332,(주)그래디언트,35080,Dec-11,137105,  전문 서비스업,,,,,,,,,
341,(주)그리티,204020,Dec-18,31401,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,
343,(주)그린플러스,186230,Dec-19,32402,  1차 금속 제조업,,,,,,,,,
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
353,(주)금비,8870,Sep-11,32301,  비금속 광물제품 제조업,,,,,,,,,
362,(주)금양,1570,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
371,(주)금호에이치티,214330,Dec-15,33003,  자동차 및 트레일러 제조업,,,,,,,,,
376,(주)금화피에스시,36190,Dec-11,64202,  전문직별 공사업,,,,,,,,,
385,(주)기가레인,49080,Dec-13,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
392,(주)기산텔레콤,35460,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
401,(주)까뮤이앤씨,13700,Dec-11,64101,  종합 건설업,,,,,,,,,
410,(주)까스텔바작,308100,Dec-19,74704,  소매업; 자동차 제외,,,,,,,,,
411,(주)나노,187790,Dec-14,117201,  기타금융업,,,,,,,,,
417,(주)나노브릭,286750,Dec-19,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
418,(주)나노신소재,121600,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
427,(주)나노엔텍,39860,Dec-11,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
436,(주)나무가,190510,Dec-15,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
441,(주)나스미디어,89600,Dec-13,137103,  전문 서비스업,,,,,,,,,
