,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
26,(주)ES큐브,50120,16-Dec,"104,460","69,832","105,165","71,696",68.17,68.17
27,(주)ES큐브,50120,17-Dec,"104,850","71,398","105,892","72,817",68.77,68.77
28,(주)ES큐브,50120,18-Dec,"108,482","66,519","112,431","70,749",62.93,62.93
29,(주)ES큐브,50120,19-Dec,"136,065","53,986","463,959","74,039",15.96,15.96
30,(주)HJ중공업,97230,10-Dec,"6,323,071","2,001,312","7,525,363","1,955,791",31.65,25.99
31,(주)MH에탄올,23150,10-Dec,"127,604","52,984","134,869","46,625",41.52,34.57
32,(주)MH에탄올,23150,11-Dec,"135,927","56,161","134,207","42,667",31.79,31.79
33,(주)MH에탄올,23150,12-Dec,"139,201","58,713","134,386","39,678",29.53,29.53
34,(주)MH에탄올,23150,13-Dec,"122,521","47,120","129,698","45,886",35.38,35.38
35,(주)MH에탄올,23150,14-Dec,"85,254","52,508","85,535","52,789",61.72,61.72
