,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
220,(주)골드퍼시픽,38530,14-Dec,16486257,17957521,1.09,1.15,-5.504587156,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
221,(주)골드퍼시픽,38530,15-Dec,18635305,19680341,1.06,1.09,-2.830188679,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
222,(주)골드퍼시픽,38530,16-Dec,,,,1.06,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
223,(주)골드퍼시픽,38530,17-Dec,,,,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
224,(주)골드퍼시픽,38530,18-Dec,5708281,1408824,0.25,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
225,(주)골드퍼시픽,38530,19-Dec,,,,0.25,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
226,(주)골프존,215000,15-Dec,201560389,80622893,0.4,,,  출판업
227,(주)골프존,215000,16-Dec,216964342,87427908,0.4,0.4,0,  출판업
228,(주)골프존,215000,17-Dec,200105321,69036405,0.35,0.4,-14.28571429,  출판업
229,(주)골프존,215000,18-Dec,198705194,77580938,0.39,0.35,10.25641026,  출판업
230,(주)골프존,215000,19-Dec,247018099,93859565,0.38,0.39,-2.631578947,  출판업
231,(주)골프존뉴딘홀딩스,121440,11-Dec,215793737,100364106,0.47,,,  출판업
232,(주)골프존뉴딘홀딩스,121440,12-Dec,289629366,131624220,0.45,0.47,-4.444444444,  출판업
233,(주)골프존뉴딘홀딩스,121440,13-Dec,365126358,186981066,0.51,0.45,11.76470588,  출판업
234,(주)골프존뉴딘홀딩스,121440,14-Dec,429589619,219364035,0.51,0.51,0,  출판업
235,(주)골프존뉴딘홀딩스,121440,15-Dec,164536448,109081059,0.66,0.51,22.72727273,  출판업
