,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
287,(주)나이벡,138610,19-Dec,18.12,  의료용품 및 기타 의약 관련제품 제조업
288,(주)남성,4270,11-Dec,0.83,  기타 전문 도매업
289,(주)남성,4270,12-Dec,0.63,  기타 전문 도매업
290,(주)남성,4270,13-Dec,0.67,  기타 전문 도매업
291,(주)남성,4270,14-Dec,0.7,  기타 전문 도매업
292,(주)남성,4270,15-Dec,0.69,  기타 전문 도매업
293,(주)남성,4270,16-Dec,0.76,  기타 전문 도매업
294,(주)남성,4270,17-Dec,0.76,  기타 전문 도매업
295,(주)남성,4270,18-Dec,1.11,  기타 전문 도매업
296,(주)남성,4270,19-Dec,1.21,  기타 전문 도매업
297,(주)내츄럴엔도텍,168330,13-Dec,1.01,  자연과학 및 공학 연구개발업
298,(주)내츄럴엔도텍,168330,14-Dec,1.63,  자연과학 및 공학 연구개발업
299,(주)내츄럴엔도텍,168330,15-Dec,4.85,  자연과학 및 공학 연구개발업
300,(주)내츄럴엔도텍,168330,16-Dec,21.88,  자연과학 및 공학 연구개발업
301,(주)내츄럴엔도텍,168330,17-Dec,17.45,  자연과학 및 공학 연구개발업
302,(주)내츄럴엔도텍,168330,18-Dec,18.37,  자연과학 및 공학 연구개발업
303,(주)내츄럴엔도텍,168330,19-Dec,23.21,  자연과학 및 공학 연구개발업
304,(주)네오리진,94860,11-Dec,0,  소프트웨어 개발 및 공급업
305,(주)네오리진,94860,12-Dec,0,  소프트웨어 개발 및 공급업
306,(주)네오리진,94860,13-Dec,4.01,  소프트웨어 개발 및 공급업
307,(주)네오리진,94860,14-Dec,5.18,  소프트웨어 개발 및 공급업
308,(주)네오리진,94860,15-Dec,13.9,  소프트웨어 개발 및 공급업
309,(주)네오리진,94860,16-Dec,4.56,  소프트웨어 개발 및 공급업
310,(주)네오리진,94860,17-Dec,4.07,  소프트웨어 개발 및 공급업
311,(주)네오리진,94860,18-Dec,7.03,  소프트웨어 개발 및 공급업
312,(주)네오리진,94860,19-Dec,5.77,  소프트웨어 개발 및 공급업
313,(주)네오셈,253590,18-Dec,,  특수 목적용 기계 제조업
314,(주)네오셈,253590,19-Dec,24.82,  특수 목적용 기계 제조업
315,(주)네오오토,212560,15-Dec,0,  자동차 신품 부품 제조업
316,(주)네오오토,212560,16-Dec,0,  자동차 신품 부품 제조업
317,(주)네오오토,212560,17-Dec,0,  자동차 신품 부품 제조업
318,(주)네오오토,212560,18-Dec,0,  자동차 신품 부품 제조업
319,(주)네오오토,212560,19-Dec,0,  자동차 신품 부품 제조업
