,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
11652,11652,신성통상(주),5390,13-Jun,-28866241,-7069432,42778129,-17928245,-16641258,41150153,-,-,+,-,-,+,도입기,도입기
11653,11653,신성통상(주),5390,14-Jun,52632345,-45756509,3310209,56434570,-35413343,-4885637,+,-,+,+,-,-,성장기,성숙기
11654,11654,신성통상(주),5390,15-Jun,17115254,-33522099,21852658,15329746,-34167559,21740736,+,-,+,+,-,+,성장기,성장기
11655,11655,신성통상(주),5390,16-Jun,-10322388,-27125965,26066041,-24379880,-30199501,33160320,-,-,+,-,-,+,도입기,도입기
11656,11656,신성통상(주),5390,17-Jun,65812328,-17979632,-41805781,60256172,-23172897,-41010959,+,-,-,+,-,-,성숙기,성숙기
11657,11657,신성통상(주),5390,18-Jun,4551375,-17294660,-778226,4861674,-17638116,-936576,+,-,-,+,-,-,성숙기,성숙기
11658,11658,신성통상(주),5390,19-Jun,9572695,-16905508,12786340,11803783,-30164749,23498879,+,-,+,+,-,+,성장기,성장기
11659,11659,신세계건설(주),34300,11-Dec,-16587256,-53134519,62051763,,,,-,-,+,8,8,8,도입기,도입기
11660,11660,신세계건설(주),34300,12-Dec,-60695186,-91976970,155489120,,,,-,-,+,8,8,8,도입기,도입기
11661,11661,신세계건설(주),34300,13-Dec,69012192,-135903025,89695666,,,,+,-,+,8,8,8,성장기,성장기
11662,11662,신세계건설(주),34300,14-Dec,20548631,-5886782,-39615757,,,,+,-,-,8,8,8,성숙기,성숙기
11663,11663,신세계건설(주),34300,15-Dec,77860930,-4538860,-63501119,,,,+,-,-,8,8,8,성숙기,성숙기
11664,11664,신세계건설(주),34300,16-Dec,20570800,-6969035,7310223,,,,+,-,+,8,8,8,성장기,성장기
11665,11665,신세계건설(주),34300,17-Dec,-62261830,-7340802,41322965,,,,-,-,+,8,8,8,도입기,도입기
11666,11666,신세계건설(주),34300,18-Dec,63627432,-12714541,-10994206,,,,+,-,-,8,8,8,성숙기,성숙기
11667,11667,신세계건설(주),34300,19-Dec,60218374,-407133,-19628677,,,,+,-,-,8,8,8,성숙기,성숙기
11668,11668,신송홀딩스(주),6880,13-Dec,-193805,-12503000,22137948,6009495,-16338932,25614142,-,-,+,+,-,+,도입기,성장기
11669,11669,신송홀딩스(주),6880,14-Dec,-1822488,-2423297,0,812052,-14245891,12414125,-,-,0,+,-,+,9,성장기
11670,11670,신송홀딩스(주),6880,15-Dec,-58713,9173064,-946309,16106581,-5862732,-3448419,-,+,-,+,-,-,쇠퇴기,성숙기
11671,11671,신송홀딩스(주),6880,16-Dec,621775,3589762,-946309,-5112946,-22798687,29742884,+,+,-,-,-,+,쇄신기,도입기
11672,11672,신송홀딩스(주),6880,17-Dec,330121,-5984479,-946309,-15793685,1760550,-193326,+,-,-,-,+,-,성숙기,쇠퇴기
11673,11673,신송홀딩스(주),6880,18-Dec,5021,-4017000,0,14262949,-2236500,-15884508,+,-,0,+,-,-,9,성숙기
11674,11674,신송홀딩스(주),6880,19-Dec,342329,-6309181,-59235,-6548040,-8539267,6987731,+,-,-,-,-,+,성숙기,도입기
11675,11675,신신제약(주),2800,17-Dec,4720321,-4352910,5673691,4568531,-3597845,5673691,+,-,+,+,-,+,성장기,성장기
11676,11676,신신제약(주),2800,18-Dec,888722,-25660197,19509522,774241,-25665637,19509522,+,-,+,+,-,+,성장기,성장기
11677,11677,신신제약(주),2800,19-Dec,-4304738,-20544956,24259643,-4505635,-20562404,24320536,-,-,+,-,-,+,도입기,도입기
11678,11678,신원종합개발(주),17000,11-Dec,-14381476,20854046,-16065443,,,,-,+,-,8,8,8,쇠퇴기,쇠퇴기
11679,11679,신원종합개발(주),17000,12-Dec,-8181101,4698137,4034167,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
11680,11680,신원종합개발(주),17000,13-Dec,-6394017,-6555948,14537000,,,,-,-,+,8,8,8,도입기,도입기
11681,11681,신원종합개발(주),17000,14-Dec,8783712,9330347,-9288000,,,,+,+,-,8,8,8,쇄신기,쇄신기
11682,11682,신원종합개발(주),17000,15-Dec,-18068805,-6313759,8923361,,,,-,-,+,8,8,8,도입기,도입기
11683,11683,신원종합개발(주),17000,16-Dec,11881813,7199428,-16564919,,,,+,+,-,8,8,8,쇄신기,쇄신기
11684,11684,신원종합개발(주),17000,17-Dec,2677265,-6733785,10776909,1081676,-2744469,9273751,+,-,+,+,-,+,성장기,성장기
11685,11685,신원종합개발(주),17000,18-Dec,-1985801,-16721171,15497519,-5010304,-16859871,17886590,-,-,+,-,-,+,도입기,도입기
11686,11686,신원종합개발(주),17000,19-Dec,33484735,-17563821,-3791468,28682254,-19271709,2814495,+,-,-,+,-,+,성숙기,성장기
11687,11687,신일전자(주),2700,11-Dec,4599904,-331617,-2125206,5332749,-8453,-3157226,+,-,-,+,-,-,성숙기,성숙기
11688,11688,신일전자(주),2700,12-Dec,8900008,-1795254,7828392,8898974,-2140397,8363764,+,-,+,+,-,+,성장기,성장기
11689,11689,신일전자(주),2700,13-Dec,5828576,-12579484,-8401618,5904302,-12340104,-8555995,+,-,-,+,-,-,성숙기,성숙기
11690,11690,신일전자(주),2700,14-Dec,-14477881,-7734384,32609334,-14755712,-6908574,32105799,-,-,+,-,-,+,도입기,도입기
11691,11691,신일전자(주),2700,15-Dec,-4517372,65467,-6340934,-4505425,62758,-6671123,-,+,-,-,+,-,쇠퇴기,쇠퇴기
11692,11692,신일전자(주),2700,16-Dec,8208893,-655629,-1857037,7982819,-665847,-1857037,+,-,-,+,-,-,성숙기,성숙기
11693,11693,신일전자(주),2700,17-Dec,8767604,-5223439,-3237885,,,,+,-,-,8,8,8,성숙기,성숙기
11694,11694,신일전자(주),2700,18-Dec,9870135,-4210167,4363223,,,,+,-,+,8,8,8,성장기,성장기
11695,11695,신일전자(주),2700,19-Dec,-6053246,8482162,-3386842,,,,-,+,-,8,8,8,쇠퇴기,쇠퇴기
11696,11696,신일제약(주),12790,11-Dec,4900589,-6459854,-968543,,,,+,-,-,8,8,8,성숙기,성숙기
11697,11697,신일제약(주),12790,12-Dec,8401564,-6201232,-2505405,,,,+,-,-,8,8,8,성숙기,성숙기
11698,11698,신일제약(주),12790,13-Dec,12258565,-11448243,-540595,,,,+,-,-,8,8,8,성숙기,성숙기
11699,11699,신일제약(주),12790,14-Dec,9328533,-8120053,-384173,,,,+,-,-,8,8,8,성숙기,성숙기
11700,11700,신일제약(주),12790,15-Dec,9563780,-10216929,-573847,,,,+,-,-,8,8,8,성숙기,성숙기
11701,11701,신일제약(주),12790,16-Dec,4234635,-4720309,-1048695,,,,+,-,-,8,8,8,성숙기,성숙기
11702,11702,신일제약(주),12790,17-Dec,8890712,-6047856,-1118172,,,,+,-,-,8,8,8,성숙기,성숙기
11703,11703,신일제약(주),12790,18-Dec,9194257,-8815967,-909090,,,,+,-,-,8,8,8,성숙기,성숙기
11704,11704,신일제약(주),12790,19-Dec,12306013,-9867755,-1188300,,,,+,-,-,8,8,8,성숙기,성숙기
11705,11705,신풍제약(주),19170,11-Dec,29243562,-23405466,-5195595,28726636,-21661275,-6048422,+,-,-,+,-,-,성숙기,성숙기
11706,11706,신풍제약(주),19170,12-Dec,29362592,-20726167,-7771501,30792490,-20442644,-8481498,+,-,-,+,-,-,성숙기,성숙기
11707,11707,신풍제약(주),19170,13-Dec,4987598,-10413710,11007905,11453530,-17459165,10740225,+,-,+,+,-,+,성장기,성장기
11708,11708,신풍제약(주),19170,14-Dec,205616,-12969519,9321371,-48157,-13202399,9321371,+,-,+,-,-,+,성장기,도입기
11709,11709,신풍제약(주),19170,15-Dec,9971775,-324133,-3154749,9890504,-112938,-3154749,+,-,-,+,-,-,성숙기,성숙기
11710,11710,신풍제약(주),19170,16-Dec,17762044,-20978297,5520794,18959223,-21159258,5520794,+,-,+,+,-,+,성장기,성장기
11711,11711,신풍제약(주),19170,17-Dec,9945150,3196359,-8499053,10148040,2038538,-8499053,+,+,-,+,+,-,쇄신기,쇄신기
11712,11712,신풍제약(주),19170,18-Dec,31756052,-11685998,-4125283,32054460,-10312806,-4153231,+,-,-,+,-,-,성숙기,성숙기
11713,11713,신풍제약(주),19170,19-Dec,17407534,-29118825,-2449322,19350540,-30656194,-2494392,+,-,-,+,-,-,성숙기,성숙기
11714,11714,신풍제지(주),2870,11-Dec,-1207777,-1203857,4097642,-1698754,-1187803,4105131,-,-,+,-,-,+,도입기,도입기
11715,11715,신풍제지(주),2870,12-Dec,-8163809,31261160,2677551,-8425089,32014800,2158136,-,+,+,-,+,+,쇠퇴기,쇠퇴기
11716,11716,신풍제지(주),2870,13-Dec,85014,10838837,-34951447,-1334126,12219455,-34835918,+,+,-,-,+,-,쇄신기,쇠퇴기
11717,11717,신풍제지(주),2870,14-Dec,-15408583,16540980,-4292354,-15968150,17165119,-4381756,-,+,-,-,+,-,쇠퇴기,쇠퇴기
11718,11718,신풍제지(주),2870,15-Dec,-11263166,13222582,-3440334,-11837874,14108239,-3711651,-,+,-,-,+,-,쇠퇴기,쇠퇴기
11719,11719,신풍제지(주),2870,16-Dec,7879443,-3561546,-1722956,7129675,-2548275,-1971066,+,-,-,+,-,-,성숙기,성숙기
11720,11720,신풍제지(주),2870,17-Dec,2203196,-7345454,2271777,601101,-6730054,3433707,+,-,+,+,-,+,성장기,성장기
11721,11721,신풍제지(주),2870,18-Dec,13293055,9519371,-2966967,13997698,8591779,-2877549,+,+,-,+,+,-,쇄신기,쇄신기
11722,11722,신풍제지(주),2870,19-Dec,16595835,-2757481,-5730628,17508724,-3251847,-5976958,+,-,-,+,-,-,성숙기,성숙기
11723,11723,신화인터텍(주),56700,11-Dec,53843443,-2076890,-52610190,51226079,-4056341,-42032737,+,-,-,+,-,-,성숙기,성숙기
11724,11724,신화인터텍(주),56700,12-Dec,48750510,-6967028,-36472349,39362123,-10084090,-33726875,+,-,-,+,-,-,성숙기,성숙기
11725,11725,신화인터텍(주),56700,13-Dec,18298609,11138524,-44298458,21455081,9817435,-48501197,+,+,-,+,+,-,쇄신기,쇄신기
11726,11726,신화인터텍(주),56700,14-Dec,58152341,-49412083,-11864580,52290672,-49755496,-6122086,+,-,-,+,-,-,성숙기,성숙기
11727,11727,신화인터텍(주),56700,15-Dec,11574478,2718949,-14419080,14393103,-1972037,-13782374,+,+,-,+,-,-,쇄신기,성숙기
11728,11728,신화인터텍(주),56700,16-Dec,16543599,-10983196,-3180281,18540877,-8340350,-4964483,+,-,-,+,-,-,성숙기,성숙기
11729,11729,신화인터텍(주),56700,17-Dec,6720668,-6478134,-1443535,5878695,-6831583,-3187500,+,-,-,+,-,-,성숙기,성숙기
11730,11730,신화인터텍(주),56700,18-Dec,-13825900,-5511994,16459370,-4970882,-12332748,16020476,-,-,+,-,-,+,도입기,도입기
11731,11731,신화인터텍(주),56700,19-Dec,33470987,-10512970,-23859181,33841327,-4991836,-30008397,+,-,-,+,-,-,성숙기,성숙기
11732,11732,신흥에스이씨(주),243840,17-Dec,7886660,-16346908,24015030,9551489,-27669016,34390689,+,-,+,+,-,+,성장기,성장기
11733,11733,신흥에스이씨(주),243840,18-Dec,4788322,-63029963,74977545,5117015,-79364372,96534760,+,-,+,+,-,+,성장기,성장기
11734,11734,신흥에스이씨(주),243840,19-Dec,814969,-13816720,-3401913,20266209,-56254185,40336985,+,-,-,+,-,+,성숙기,성장기
11735,11735,쌍용씨앤이(주),3410,11-Dec,92929768,-22518382,-69647464,116977071,-19179248,-125235650,+,-,-,+,-,-,성숙기,성숙기
11736,11736,쌍용씨앤이(주),3410,12-Dec,157358639,-51917729,-106049782,204847562,-83788058,-114936614,+,-,-,+,-,-,성숙기,성숙기
11737,11737,쌍용씨앤이(주),3410,13-Dec,146011581,-74327227,-71944195,254109045,-110515651,-151325885,+,-,-,+,-,-,성숙기,성숙기
11738,11738,쌍용씨앤이(주),3410,14-Dec,194236228,-27839822,-166288353,277594606,-63739316,-213607300,+,-,-,+,-,-,성숙기,성숙기
11739,11739,쌍용씨앤이(주),3410,15-Dec,227450269,-4232111,-223378832,274164553,-12704419,-264898339,+,-,-,+,-,-,성숙기,성숙기
11740,11740,쌍용씨앤이(주),3410,16-Dec,129587582,-102659627,33105198,196734831,-74282685,51097821,+,-,+,+,-,+,성장기,성장기
11741,11741,쌍용씨앤이(주),3410,17-Dec,408629389,-196526528,-34851184,298323830,-222979700,4746958,+,-,-,+,-,+,성숙기,성장기
11742,11742,쌍용씨앤이(주),3410,18-Dec,274261689,-107111146,-221814354,315983958,-115589816,-256863441,+,-,-,+,-,-,성숙기,성숙기
11743,11743,쌍용씨앤이(주),3410,19-Dec,336618195,-67200495,-203819250,365978000,-76254871,-265078957,+,-,-,+,-,-,성숙기,성숙기
11744,11744,쌍용자동차(주),3620,11-Dec,197485277,-105394962,29862941,197966683,-104730466,29862941,+,-,+,+,-,+,성장기,성장기
11745,11745,쌍용자동차(주),3620,12-Dec,145728654,-143726911,-6671810,145630587,-143392169,-6671810,+,-,-,+,-,-,성숙기,성숙기
11746,11746,쌍용자동차(주),3620,13-Dec,275127957,-214309661,101389188,274110457,-212070516,101389188,+,-,+,+,-,+,성장기,성장기
11747,11747,쌍용자동차(주),3620,14-Dec,68302093,-257563371,-21359572,68153166,-257545794,-21359572,+,-,-,+,-,-,성숙기,성숙기
11748,11748,쌍용자동차(주),3620,15-Dec,204142603,-227988945,67528400,201547229,-227994580,67528400,+,-,+,+,-,+,성장기,성장기
11749,11749,쌍용자동차(주),3620,16-Dec,245616557,-210692313,6959882,244369118,-210693644,6959882,+,-,+,+,-,+,성장기,성장기
11750,11750,쌍용자동차(주),3620,17-Dec,205080778,-277445714,50229035,204375561,-277454555,50229035,+,-,+,+,-,+,성장기,성장기
11751,11751,쌍용자동차(주),3620,18-Dec,177498480,-260348100,21281528,177123093,-257693934,21281528,+,-,+,+,-,+,성장기,성장기
11752,11752,쌍용자동차(주),3620,19-Dec,-26047173,-209346148,203570604,-25473159,-207703122,202787167,-,-,+,-,-,+,도입기,도입기
11753,11753,쌍용정보통신(주),10280,11-Dec,-20782066,453276,-8054489,-20869506,398193,-8054489,-,+,-,-,+,-,쇠퇴기,쇠퇴기
11754,11754,쌍용정보통신(주),10280,12-Dec,19313661,-7272217,-2695885,19026670,-7309059,-2695885,+,-,-,+,-,-,성숙기,성숙기
11755,11755,쌍용정보통신(주),10280,13-Dec,4009367,-14067832,-1088551,4363456,-14099209,-1088551,+,-,-,+,-,-,성숙기,성숙기
11756,11756,쌍용정보통신(주),10280,14-Dec,8002520,4349453,-3425363,8042237,4410894,-3425363,+,+,-,+,+,-,쇄신기,쇄신기
11757,11757,쌍용정보통신(주),10280,15-Dec,-17260738,7872331,9554445,-17467859,7816627,9554445,-,+,+,-,+,+,쇠퇴기,쇠퇴기
11758,11758,쌍용정보통신(주),10280,16-Dec,-8864876,6249076,1040782,-8578166,6228223,1040782,-,+,+,-,+,+,쇠퇴기,쇠퇴기
11759,11759,쌍용정보통신(주),10280,17-Dec,9899937,-4098068,-9752085,10476128,-4097358,-9752085,+,-,-,+,-,-,성숙기,성숙기
11760,11760,쌍용정보통신(주),10280,18-Dec,19308201,-8148693,-2929087,19264047,-8169923,-2929087,+,-,-,+,-,-,성숙기,성숙기
11761,11761,쌍용정보통신(주),10280,19-Dec,11868503,-878960,-2423612,12153809,-883797,-2430376,+,-,-,+,-,-,성숙기,성숙기
11762,11762,써니전자(주),4770,11-Dec,-323016,-571898,-362621,-3089912,-1141074,712299,-,-,-,-,-,+,쇄신기,도입기
11763,11763,써니전자(주),4770,12-Dec,-162127,-3667648,3681638,-3517095,2067124,1508613,-,-,+,-,+,+,도입기,쇠퇴기
11764,11764,써니전자(주),4770,13-Dec,-39927,685514,0,-779324,1192435,30000,-,+,0,-,+,+,9,쇠퇴기
11765,11765,써니전자(주),4770,14-Dec,2283131,-1113179,2364330,2514821,-1434169,2334330,+,-,+,+,-,+,성장기,성장기
11766,11766,써니전자(주),4770,15-Dec,3216840,1150141,7800000,3120597,951400,7800000,+,+,+,+,+,+,쇄신기,쇄신기
11767,11767,써니전자(주),4770,16-Dec,3237946,-1451323,0,3197750,-1514254,0,+,-,0,+,-,9,9,9
11768,11768,써니전자(주),4770,17-Dec,2355043,-9525739,-2000000,1199933,-9331389,-2000000,+,-,-,+,-,-,성숙기,성숙기
11769,11769,써니전자(주),4770,18-Dec,1763004,-3803048,9816889,1016851,-4143670,9816889,+,-,+,+,-,+,성장기,성장기
11770,11770,써니전자(주),4770,19-Dec,5269406,-16167457,-189539,5356312,-16167457,-189539,+,-,-,+,-,-,성숙기,성숙기
11771,11771,씨비아이(주),13720,11-Dec,3421108,-1841534,-1303600,,,,+,-,-,8,8,8,성숙기,성숙기
11772,11772,씨비아이(주),13720,12-Dec,2377223,-4904693,3922572,,,,+,-,+,8,8,8,성장기,성장기
11773,11773,씨비아이(주),13720,13-Dec,3872245,-8339106,2551819,,,,+,-,+,8,8,8,성장기,성장기
11774,11774,씨비아이(주),13720,14-Dec,3097997,-1484649,-1441258,,,,+,-,-,8,8,8,성숙기,성숙기
11775,11775,씨비아이(주),13720,15-Dec,2660837,-2464576,129278,,,,+,-,+,8,8,8,성장기,성장기
11776,11776,씨비아이(주),13720,16-Dec,1090772,-1100386,488205,,,,+,-,+,8,8,8,성장기,성장기
11777,11777,씨비아이(주),13720,17-Dec,2409868,-1077224,-2389476,,,,+,-,-,8,8,8,성숙기,성숙기
11778,11778,씨비아이(주),13720,18-Dec,1626563,-1625067,1516740,,,,+,-,+,8,8,8,성장기,성장기
11779,11779,씨비아이(주),13720,19-Dec,2740767,-8747558,4564010,,,,+,-,+,8,8,8,성장기,성장기
11780,11780,씨아이에스(주),222080,15-Dec,,,,,,,8,8,8,8,8,8,8,8
11781,11781,씨아이에스(주),222080,16-Dec,,,,,,,8,8,8,8,8,8,8,8
11782,11782,씨아이에스(주),222080,17-Dec,-9783786,253719,15432260,-10135674,-1032674,16214032,-,+,+,-,-,+,쇠퇴기,도입기
11783,11783,씨아이에스(주),222080,18-Dec,-24463613,-10999482,21997976,-25299942,-11006761,21997976,-,-,+,-,-,+,도입기,도입기
11784,11784,씨아이에스(주),222080,19-Dec,23500871,-5452992,-3208627,,,,+,-,-,8,8,8,성숙기,성숙기
11785,11785,씨앤지하이테크(주),264660,18-Dec,3311219,-26433766,20203691,,,,+,-,+,8,8,8,성장기,성장기
11786,11786,씨앤지하이테크(주),264660,19-Dec,26157095,5175102,-982638,,,,+,+,-,8,8,8,쇄신기,쇄신기
11787,11787,씨앤티85(주),56730,11-Dec,8388841,-5783089,-9525561,8712767,-5997322,-9525561,+,-,-,+,-,-,성숙기,성숙기
11788,11788,씨앤티85(주),56730,12-Dec,-2411590,-6778081,9396473,-3691253,-5610011,9396473,-,-,+,-,-,+,도입기,도입기
11789,11789,씨앤티85(주),56730,13-Dec,-103260,-4809305,2687928,-810061,-3819370,2687928,-,-,+,-,-,+,도입기,도입기
11790,11790,씨앤티85(주),56730,14-Dec,-1480351,-1071518,2593950,-1775992,-882745,2593950,-,-,+,-,-,+,도입기,도입기
11791,11791,씨앤티85(주),56730,15-Dec,-3709743,-10498818,16648668,-4323765,-10455250,16648668,-,-,+,-,-,+,도입기,도입기
11792,11792,씨앤티85(주),56730,16-Dec,-3956084,-7891620,9297915,,,,-,-,+,8,8,8,도입기,도입기
11793,11793,씨앤티85(주),56730,17-Dec,-23718862,-6819322,49874703,-20340589,-8091214,49833703,-,-,+,-,-,+,도입기,도입기
11794,11794,씨앤티85(주),56730,18-Dec,3115787,-22455239,26346301,-1072921,-18733322,26958588,+,-,+,-,-,+,성장기,도입기
11795,11795,씨앤티85(주),56730,19-Dec,-2793212,-16208814,-6522123,-2497717,-15205325,-7040680,-,-,-,-,-,-,쇄신기,쇄신기
11796,11796,씨에스베어링(주),297090,19-Dec,4576682,-21166209,19856245,8461285,-23527042,23626205,+,-,+,+,-,+,성장기,성장기
11797,11797,씨에스윈드(주),112610,14-Dec,15731356,-58784740,60849587,46848744,-68987576,45036690,+,-,+,+,-,+,성장기,성장기
11798,11798,씨에스윈드(주),112610,15-Dec,-46367790,64703534,-13513883,-19849639,63754473,-20382704,-,+,-,-,+,-,쇠퇴기,쇠퇴기
11799,11799,씨에스윈드(주),112610,16-Dec,57558354,-40064834,-13156623,48828129,-32985738,-12505807,+,-,-,+,-,-,성숙기,성숙기
11800,11800,씨에스윈드(주),112610,17-Dec,-29765992,5524742,17282036,-3078057,-13943910,9464765,-,+,+,-,-,+,쇠퇴기,도입기
11801,11801,씨에스윈드(주),112610,18-Dec,-15175292,-69510775,75705306,-20528787,-61656985,79275435,-,-,+,-,-,+,도입기,도입기
11802,11802,씨에스윈드(주),112610,19-Dec,79032097,-37939626,-19077430,85674845,-66353791,23346496,+,-,-,+,-,+,성숙기,성장기
11803,11803,씨제이(주),1040,11-Dec,8318548,54108977,-992971,569688953,-2620795425,2281839986,+,+,-,+,-,+,쇄신기,성장기
11804,11804,씨제이(주),1040,12-Dec,-67687043,-90184793,-272714273,1562979394,-2458136341,688157957,-,-,-,+,-,+,쇄신기,성장기
11805,11805,씨제이(주),1040,13-Dec,8869119,57841088,-93016457,1476476541,-1798328283,352144805,+,+,-,+,-,+,쇄신기,성장기
11806,11806,씨제이(주),1040,14-Dec,51236505,-6529445,-75012956,1760986073,-1932689490,-74262597,+,-,-,+,-,-,성숙기,성숙기
11807,11807,씨제이(주),1040,15-Dec,66494656,47871514,-93119893,2295614169,-1461473396,-637090027,+,+,-,+,-,-,쇄신기,성숙기
11808,11808,씨제이(주),1040,16-Dec,74661884,94161980,-194823282,2091748639,-3344703500,1230498734,+,+,-,+,-,+,쇄신기,성장기
11809,11809,씨제이(주),1040,17-Dec,59789856,1935489,-45402867,2240404302,-2863799623,718215319,+,+,-,+,-,+,쇄신기,성장기
11810,11810,씨제이(주),1040,18-Dec,77542396,11129064,-91174193,1541092351,-2126012873,827350780,+,+,-,+,-,+,쇄신기,성장기
11811,11811,씨제이(주),1040,19-Dec,66613516,-113514728,21130715,3864576582,-4895720982,1167135536,+,-,+,+,-,+,성장기,성장기
11812,11812,씨제이대한통운(주),120,11-Dec,56554831,231646375,-150154909,111199423,78796519,-58633435,+,+,-,+,+,-,쇄신기,쇄신기
11813,11813,씨제이대한통운(주),120,12-Dec,50446800,-160100201,9727388,116918518,-219039156,22293867,+,-,+,+,-,+,성장기,성장기
11814,11814,씨제이대한통운(주),120,13-Dec,-77889376,-183858587,208519756,-92575916,-128624748,173876409,-,-,+,-,-,+,도입기,도입기
11815,11815,씨제이대한통운(주),120,14-Dec,210723090,-28125663,-181935423,259803712,-67368357,-179312544,+,-,-,+,-,-,성숙기,성숙기
11816,11816,씨제이대한통운(주),120,15-Dec,209062092,-163046529,-60133642,171874165,-86381816,-100776380,+,-,-,+,-,-,성숙기,성숙기
11817,11817,씨제이대한통운(주),120,16-Dec,140996425,-540658098,379917690,208404672,-705460945,543229979,+,-,+,+,-,+,성장기,성장기
11818,11818,씨제이대한통운(주),120,17-Dec,273266180,-583352823,315160983,246413341,-689603421,456478719,+,-,+,+,-,+,성장기,성장기
11819,11819,씨제이대한통운(주),120,18-Dec,78363119,-706230711,612588323,61914216,-843492927,778474278,+,-,+,+,-,+,성장기,성장기
11820,11820,씨제이대한통운(주),120,19-Dec,685480047,-193657552,-429184501,849229006,-318723936,-472630308,+,-,-,+,-,-,성숙기,성숙기
11821,11821,씨제이바이오사이언스(주),311690,19-Dec,-2306503,-26747388,23268573,-2506148,-26165022,23268573,-,-,+,-,-,+,도입기,도입기
11822,11822,씨제이씨지브이(주),79160,11-Dec,97376417,-192741444,135693710,67332198,-141267095,137517353,+,-,+,+,-,+,성장기,성장기
11823,11823,씨제이씨지브이(주),79160,12-Dec,130446454,38640401,-76716734,122389662,24688983,-49713662,+,+,-,+,+,-,쇄신기,쇄신기
11824,11824,씨제이씨지브이(주),79160,13-Dec,62197089,-193243555,28320707,61496824,-207587745,48974517,+,-,+,+,-,+,성장기,성장기
11825,11825,씨제이씨지브이(주),79160,14-Dec,146074360,-152084617,22055700,139482603,-181223228,58637597,+,-,+,+,-,+,성장기,성장기
11826,11826,씨제이씨지브이(주),79160,15-Dec,129913628,-150254243,33256331,151672650,-227310908,106500212,+,-,+,+,-,+,성장기,성장기
11827,11827,씨제이씨지브이(주),79160,16-Dec,141915838,-446633184,321932696,187811328,-835353963,705419104,+,-,+,+,-,+,성장기,성장기
11828,11828,씨제이씨지브이(주),79160,17-Dec,92421613,-73337512,-74377981,194342877,-285906362,36044805,+,-,-,+,-,+,성숙기,성장기
11829,11829,씨제이씨지브이(주),79160,18-Dec,21543027,96312069,-51594288,108733820,-43419704,-5798170,+,+,-,+,-,-,쇄신기,성숙기
11830,11830,씨제이씨지브이(주),79160,19-Dec,225801112,50766033,-203469876,283339457,-228475898,104975467,+,+,-,+,-,+,쇄신기,성장기
11831,11831,씨제이씨푸드(주),11150,11-Dec,1430594,-7190557,5937878,2326153,-7032119,4890555,+,-,+,+,-,+,성장기,성장기
11832,11832,씨제이씨푸드(주),11150,12-Dec,7266659,-2041717,-5489502,,,,+,-,-,8,8,8,성숙기,성숙기
11833,11833,씨제이씨푸드(주),11150,13-Dec,9884261,-3075710,-6992641,,,,+,-,-,8,8,8,성숙기,성숙기
11834,11834,씨제이씨푸드(주),11150,14-Dec,-8423424,-3435782,12597689,,,,-,-,+,8,8,8,도입기,도입기
11835,11835,씨제이씨푸드(주),11150,15-Dec,31200322,-20976406,-9946065,,,,+,-,-,8,8,8,성숙기,성숙기
11836,11836,씨제이씨푸드(주),11150,16-Dec,-5469801,-8421955,13091815,,,,-,-,+,8,8,8,도입기,도입기
11837,11837,씨제이씨푸드(주),11150,17-Dec,15614971,-11099808,-4606464,,,,+,-,-,8,8,8,성숙기,성숙기
11838,11838,씨제이씨푸드(주),11150,18-Dec,-1044998,-6903416,8627230,,,,-,-,+,8,8,8,도입기,도입기
11839,11839,씨제이씨푸드(주),11150,19-Dec,7282741,-4656709,-3529625,,,,+,-,-,8,8,8,성숙기,성숙기
11840,11840,씨제이제일제당(주),97950,11-Dec,-143246594,-1341138790,1378951832,-288381082,-1420107227,1878417937,-,-,+,-,-,+,도입기,도입기
11841,11841,씨제이제일제당(주),97950,12-Dec,565002196,-316404086,-228624029,805051777,-1156311478,456134987,+,-,-,+,-,+,성숙기,성장기
11842,11842,씨제이제일제당(주),97950,13-Dec,531740425,-69473297,-359751961,590904368,-769103669,60720288,+,-,-,+,-,+,성숙기,성장기
11843,11843,씨제이제일제당(주),97950,14-Dec,348405266,-211179361,-141041401,688561505,-537171145,-141392305,+,-,-,+,-,-,성숙기,성숙기
11844,11844,씨제이제일제당(주),97950,15-Dec,379885261,-423779545,-13582578,1154573133,-693002656,-364487974,+,-,-,+,-,-,성숙기,성숙기
11845,11845,씨제이제일제당(주),97950,16-Dec,209433565,-523056328,380911632,800141934,-1408917160,725943103,+,-,+,+,-,+,성장기,성장기
11846,11846,씨제이제일제당(주),97950,17-Dec,388973255,-470378363,-48520370,1180837049,-1463909010,265353628,+,-,-,+,-,+,성숙기,성장기
11847,11847,씨제이제일제당(주),97950,18-Dec,364048866,-391207839,802995,471425123,-1034629208,520965345,+,-,+,+,-,+,성장기,성장기
