회사명,거래소코드,회계년도,산업코드,산업명
(주)금양,001570,2019/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금호에이치티,214330,2015/12,033003,  자동차 및 트레일러 제조업
(주)금호에이치티,214330,2016/12,033003,  자동차 및 트레일러 제조업
(주)금호에이치티,214330,2017/12,033003,  자동차 및 트레일러 제조업
(주)금호에이치티,214330,2018/12,033003,  자동차 및 트레일러 제조업
(주)금호에이치티,214330,2019/12,033003,  자동차 및 트레일러 제조업
(주)금화피에스시,036190,2011/12,064202,  전문직별 공사업
(주)금화피에스시,036190,2012/12,064203,  전문직별 공사업
(주)금화피에스시,036190,2013/12,064203,  전문직별 공사업
(주)금화피에스시,036190,2014/12,064203,  전문직별 공사업
(주)금화피에스시,036190,2015/12,064203,  전문직별 공사업
(주)금화피에스시,036190,2016/12,064203,  전문직별 공사업
(주)금화피에스시,036190,2017/12,064203,  전문직별 공사업
