회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),자산(*)(IFRS)(천원),재고자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),사채(*)(IFRS)(천원),매출채권(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),단기차입금(IFRS연결)(천원),장기차입금(IFRS연결)(천원),유동성장기부채(*)(IFRS연결)(천원),사채(IFRS연결)(천원),매출채권(IFRS연결)(천원)
(주)에스엠라이프디자인그룹,63440,16-Dec,24609239,1614315,43573095,327422,40309002,3264093,0,0,0,0,1731931,24609239,1614315,43573095,327422,40309002,3264093,0,0,0,0,1731931
(주)에스엠라이프디자인그룹,63440,17-Dec,23801063,1406827,44234219,246936,41507483,2726736,0,0,0,0,2044285,26091557,2807414,45895630,246936,41720672,4174959,0,0,0,0,2342211
(주)에스엠라이프디자인그룹,63440,18-Dec,36691095,3891484,55274000,325833,50146514,5127487,0,0,0,0,2359074,38276104,4808921,56362574,325833,50286134,6076440,0,0,0,0,2359074
(주)에스엠라이프디자인그룹,63440,19-Dec,35046047,3710424,53864446,141843,48852704,5011742,0,0,0,0,4040462,41110785,8342674,60354837,4977404,48809343,11545494,0,0,0,0,4403468
(주)에스엠벡셀,10580,11-Dec,21533972,28527262,66549354,5181222,21351525,45197828,9990000,9582500,3287500,0,9688781,,,,,,,,,,,
(주)에스엠벡셀,10580,12-Dec,24369369,33282464,64101045,5887397,18596387,45504658,12590000,5787500,5125000,0,8799698,,,,,,,,,,,
(주)에스엠벡셀,10580,13-Dec,29429837,43078322,78621373,7985507,17612218,61009155,18590000,11640500,1250000,0,8742619,,,,,,,,,,,
(주)에스엠벡셀,10580,14-Dec,26254855,34543188,72913292,5960293,16135952,56777340,16870728,15462380,1275120,0,8752640,,,,,,,,,,,
(주)에스엠벡셀,10580,15-Dec,18188044,30380821,64289391,4949412,13863651,50425739,14326667,14797040,2148310,1406953,7522527,,,,,,,,,,,
(주)에스엠벡셀,10580,16-Dec,17466908,29928452,60354102,4363702,17692604,42661498,9549999,8140920,4211560,0,6974147,,,,,,,,,,,
(주)에스엠벡셀,10580,17-Dec,12796569,24302014,53447698,4288046,19636780,33810918,3100000,5064220,4114250,0,6331966,,,,,,,,,,,
(주)에스엠벡셀,10580,18-Dec,14395566,19990782,63715894,6449407,26820432,36895461,3550000,12450000,1200000,0,6107329,,,,,,,,,,,
(주)에스엠벡셀,10580,19-Dec,18081276,38294710,73825419,3745397,19362186,54463233,11490923,9950000,0,0,6623267,,,,,,,,,,,
(주)에스엠엔터테인먼트,41510,11-Dec,83346428,43899894,154320026,1538772,108391403,45928624,2205896,0,480303,0,14348229,105964630,61036425,168109393,2578669,103306293,64803100,0,0,480303,0,13008058
(주)에스엠엔터테인먼트,41510,12-Dec,129805443,52377335,265990300,3026397,212311066,53679233,2205896,0,480303,0,28356333,198151248,84760999,322844435,5697996,233574967,89269468,0,0,480303,0,21245654
(주)에스엠엔터테인먼트,41510,13-Dec,156736670,67211871,302106277,4154522,228264622,73841656,2205896,4409600,480303,0,53965312,244657217,112878512,392328202,7348729,266386073,125942129,0,0,480303,0,44728440
(주)에스엠엔터테인먼트,41510,14-Dec,111120984,41508657,286912768,4189388,236694471,50218297,2205896,4409600,480303,0,47056373,196599704,84914496,382685413,8597249,281582050,101103363,0,0,526347,0,47201636
(주)에스엠엔터테인먼트,41510,15-Dec,119841016,54540522,340797077,4790322,254672896,86124181,2175000,27600000,4889903,0,48218703,226595498,98098672,459709220,10006569,323497964,136211256,0,0,8173885,0,38819393
(주)에스엠엔터테인먼트,41510,16-Dec,175818820,89108655,392374869,4615566,298478102,93896766,2175000,0,32489903,0,34867202,293384838,134647094,525082697,11209998,375546396,149536302,0,0,35094784,0,43870695
(주)에스엠엔터테인먼트,41510,17-Dec,163006520,106208934,436117975,3991998,320480631,115637344,7175000,0,32489903,0,70904308,440834563,330417380,797509024,8628752,435630933,361878090,0,0,36644165,0,127682931
(주)에스엠엔터테인먼트,41510,18-Dec,178508554,135569173,534318733,4433124,385514391,148804342,2175000,0,32489903,0,82348943,537351648,394212845,1002473550,11524908,576127583,426345966,0,0,36404373,0,133075420
(주)에스엠엔터테인먼트,41510,19-Dec,200721669,139338413,565047824,6259888,411964920,153082904,0,0,32009600,0,103932700,628691154,436954867,1115620587,14758462,632768148,482852439,0,0,35566429,0,140266932
(주)에스엠컬처앤콘텐츠,48550,11-Dec,6838424,5856067,24091513,0,18202419,5889094,0,0,0,3027,1915548,13267452,10596005,28643718,0,18014685,10629033,0,0,0,0,4116447
(주)에스엠컬처앤콘텐츠,48550,12-Dec,22481547,8396956,50280008,0,39958590,10321418,0,0,0,2000000,3943639,26529030,10927627,50180167,0,37273871,12906296,0,0,0,0,4914254
(주)에스엠컬처앤콘텐츠,48550,13-Dec,49558745,23216923,87547226,0,56474185,31073041,0,0,0,8000000,11136660,51785633,24565791,84175031,0,51694406,32480626,0,0,0,0,11517785
(주)에스엠컬처앤콘텐츠,48550,14-Dec,42083331,22390290,86602102,0,57922896,28679206,0,4687000,0,1500000,8279635,42986843,22715261,84563920,0,55451687,29112233,0,0,0,0,8464419
(주)에스엠컬처앤콘텐츠,48550,15-Dec,46796229,28637246,87651331,0,55754575,31896756,0,3192720,2807678,0,9749769,46930546,28771866,86046315,0,54014938,32031377,0,0,2807678,0,9740777
(주)에스엠컬처앤콘텐츠,48550,16-Dec,54881782,24142562,82348022,0,56508428,25839594,0,1630400,1562320,0,8655412,55324767,24682332,81197459,0,54818096,26379363,0,0,1562320,0,8629364
(주)에스엠컬처앤콘텐츠,48550,17-Dec,206372919,177473949,300770279,0,115547699,185222580,0,0,0,7700000,63371452,207015626,178098491,300762940,0,114915818,185847122,0,0,0,0,63371656
