회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)STX,11810,Dec-13,-522090000,640293000,1071743000,,47749000,62152000,-509663000,793607000,1278680000,94076000,0,43139000,65147000,1608657000,1852183000,391256000,474021000,0,,391286000,542454000,0,,1086567000,1342520000,1895063000,2449401000
(주)STX,11810,Dec-14,54894000,728283000,671976000,,148535000,57120000,93662000,893610000,788697000,207648000,0,78042000,111282000,1015539000,1161340000,214533000,488720000,0,,214556000,512227000,0,,1070433000,1255002000,1291351000,1634606000
(주)STX,11810,Dec-15,72316000,663016000,677923000,,143454000,53714000,72342000,902119000,866685000,316312000,0,46446000,77005000,985227000,1194882000,165217000,500659000,0,,165235000,578844000,0,,1057543000,1267224000,1362127000,1630827000
(주)STX,11810,Dec-16,-328883000,441306000,914419000,,139765000,30798000,-330596000,486347000,974743000,226131000,0,19366000,47692000,956569000,1038305000,30940000,510241000,0,,30940000,574539000,0,,627686000,707709000,1465561000,1720153000
(주)STX,11810,Dec-17,44710000,349891000,453983000,,103343000,29631000,42560000,475786000,553981000,181620000,26090000,74336000,95504000,475683000,584982000,19343000,204108000,0,,19343000,253322000,0,,520393000,627542000,1595494000,1803878000
(주)STX,11810,Dec-18,62213000,297842000,361935000,,89120000,28464000,64028000,422861000,463598000,129417000,0,18077000,44279000,384545000,490033000,22595000,259918000,0,,22595000,305981000,0,,446758000,554061000,1329890000,1502985000
(주)STX,11810,Dec-19,50616000,292473000,377150000,,89664000,43245000,56291000,386401000,439806000,118778000,0,19163000,40025000,412118000,503816000,34213000,248602000,0,,38017000,264271000,0,,462734000,560107000,1237876000,1471164000
(주)TCC스틸,2710,Dec-11,205616971,163515113,143961450,,76580688,75283350,225441968,183481284,165589918,79633257,0,2600896,5323614,202126588,228887542,25483900,93982325,0,,26981943,108093746,0,,407743559,454329510,456928069,514424043
(주)TCC스틸,2710,Dec-12,209755733,168674581,115747321,,75866000,71554979,225998781,218440703,191715329,100648536,0,4197045,15783640,228887219,321015196,57343600,51793337,0,,69300233,95311816,0,,438642951,547013976,440568155,501337475
(주)TCC스틸,2710,Dec-13,210086242,150092488,98538725,,62722660,71255687,205738102,220034732,155751890,117184576,0,2180002,13813767,234118683,337970494,81381440,30522560,0,,119777726,68381264,0,,444204925,543708595,419483813,500832754
(주)TCC스틸,2710,Dec-14,210093654,141191905,189566139,,59114758,68743151,189038004,233224033,283660429,124343812,0,722769,5864762,251203934,361962559,28114780,82191918,0,,30545120,121546985,0,,461297588,551000563,401323585,518995240
(주)TCC스틸,2710,Dec-15,76555951,202116240,121276743,,45683627,50635593,86012476,240184174,153614700,48965898,106445325,1974872,10425620,254095791,290382095,112083700,29010848,0,,113039900,40104555,0,,330651742,376394571,350074629,495795871
(주)TCC스틸,2710,Dec-16,92623510,97007914,77521428,,44890754,43730610,103337634,120777516,94244692,51850499,0,2613057,8916043,158254682,179577101,59537000,30606252,0,,60103220,40670209,0,,250878191,282914735,317235565,444453635
(주)TCC스틸,2710,Dec-17,89627045,101914014,148607324,,48077587,45541678,100915803,120243911,160048884,52771855,0,1131926,8669938,159269192,177776736,0,35703547,0,,178740,41668435,0,,248896237,278692540,333762378,391370092
(주)TCC스틸,2710,Dec-18,98351707,128625665,82038987,,62280830,43204124,112246210,152165969,93172096,69197191,0,7997147,23250080,169783970,192535369,74888608,40134438,0,,78588608,41720321,0,,268135677,304781579,351301866,413176279
(주)TCC스틸,2710,Dec-19,97501452,121879909,152915323,,67392895,47129444,116843135,148991647,165995910,72619098,0,7102053,14972034,172763630,197366953,4363000,48254679,0,,8063000,49412479,0,,270265082,314210087,339334364,437173902
(주)가비아,79940,Dec-11,24298687,9245779,11953563,,14450,7163470,48665742,28837190,13905604,14450,0,2780000,12010183,12997135,16288697,953300,0,0,,953300,0,0,,37295822,64954440,33792831,52838864
(주)가비아,79940,Dec-12,31165211,9613034,10723878,,92459,23749485,58945247,31997486,14858349,248459,1448018,2796114,12997549,20630538,26299269,9666660,1000000,0,,9666660,2774106,0,,51795749,85244515,38482449,69058144
(주)가비아,79940,Dec-13,34822978,10360239,11588806,,81039,22732962,68600227,37411881,14999568,93612,0,5301724,12326982,17328806,22631067,5500000,0,0,,5500000,1000000,0,,52151784,91231294,40507693,70675565
(주)가비아,79940,Dec-14,38147677,14916105,13161566,,0,22313113,75509702,41920706,16229926,0,2512377,5358746,15906033,17836566,23034370,4675000,3000000,0,,4675000,3500000,0,,55984243,98544072,43906243,80432047
(주)가비아,79940,Dec-15,42470259,17436488,9687159,,0,22210592,84096148,52239105,13210992,0,0,10289329,23217895,15187159,20985420,5500000,0,0,,5500000,510000,0,,57657418,105081568,48446932,91648622
